id,title,price,currency,price_period,price_type,price_raw_value,property_type,location,latitude,longitude,images,share_url,bedrooms,bathrooms,size,amenities,category,page,scraped_at_utc,record_type
52971386,شقة لقطة 3 غرف بـ5% مقدم و الباقي حسب مقدرتك,4250000.0,EGP,sell,sale_price,4250000,Apartment,"Green Revolution, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",30.06587219238281,31.001977920532227,"['https://static.shared.propertyfinder.eg/media/images/listing/FVFVKHY300M53JSGPGHB3RDBPG/9d05602f-7fc1-4d82-9a41-a6b56b22527f/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/FVFVKHY300M53JSGPGHB3RDBPG/9d05602f-7fc1-4d82-9a41-a6b56b22527f/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-sheikh-zayed-compounds-green-revolution-2PY3pwqCgxk.html,3.0,2.0,116,"['BA', 'BW', 'AC', 'CP', 'BK', 'PG', 'PP', 'SP', 'ST', 'VW', 'SS', 'SE', 'SY', 'WC', 'BL', 'LB', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52971379,شقة لقطة 3 غرف بـ5% مقدم و الباقي حسب مقدرتك,4250000.0,EGP,sell,sale_price,4250000,Apartment,"Hadayek Al Mohandessin, 4th District, Sheikh Zayed City, Giza",30.02766227722168,30.9973087310791,"['https://static.shared.propertyfinder.eg/media/images/listing/XM8HG8YNZGM3RJZ6DX80J3PX7W/f6b79f64-b76b-4af0-b113-9700e1675125/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/XM8HG8YNZGM3RJZ6DX80J3PX7W/f6b79f64-b76b-4af0-b113-9700e1675125/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-giza-sheikh-zayed-city-4th-district-hadayek-al-mohandessin-2PY3p5eyC2K.html,3.0,2.0,116,"['BA', 'BW', 'AC', 'CP', 'BK', 'PG', 'SP', 'ST', 'PP', 'VW', 'SE', 'SS', 'WC', 'BL', 'LB', 'CO', 'SY']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8116638,"Ready apartment 170 m at lowest price, installment",4600000.0,EGP,sell,sale_price,4600000,Apartment,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.078453063964844,31.42692375183105,"['https://static.shared.propertyfinder.eg/media/images/listing/01K80R1ASK6EBYPGZXRDZ4XJAQ/072e50bd-2773-4c00-930a-6b27d760f901/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/01K80R1ASK6EBYPGZXRDZ4XJAQ/072e50bd-2773-4c00-930a-6b27d760f901/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-taj-city-8116638.html,3.0,3.0,170,"['CP', 'BK', 'AC', 'BA', 'BW', 'MR', 'PG', 'PP', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'WC', 'BL', 'LB', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52970578,Cozy Studio Apartment – Air & Pool Breeze,1428000.0,EGP,sell,sale_price,1428000,Apartment,"El Kawther District, Hurghada, Red Sea",27.19314765930176,33.82826614379883,"['https://static.shared.propertyfinder.eg/media/images/listing/77PREFWSVHDJ529YX5N27CTXJC/c2b8bb58-42bc-445b-914f-9710a88e1537/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/77PREFWSVHDJ529YX5N27CTXJC/c2b8bb58-42bc-445b-914f-9710a88e1537/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-red-sea-hurghada-el-kawther-district-2PY0n258vnk.html,,1.0,34,"['BA', 'CO', 'LB', 'SY', 'SS', 'SE', 'VW', 'SP', 'CP']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52970815,"Villa Prime Location, fully finished Ready to Move",15000000.0,EGP,sell,sale_price,15000000,Villa,"Mountain View 4, 6 October Compounds, 6 October City, Giza",29.985715866088867,31.07987403869629,"['https://static.shared.propertyfinder.eg/media/images/listing/8GJ3CRG434DBVPT0G588FNEV7W/a1eb6e75-c942-458c-ba21-6ebe2d8bfc9c/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/8GJ3CRG434DBVPT0G588FNEV7W/a1eb6e75-c942-458c-ba21-6ebe2d8bfc9c/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-giza-6-october-city-6-october-compounds-mountain-view-4-2PY1WxAx9KS.html,3.0,4.0,230,"['BA', 'SE', 'MR', 'PG', 'LB', 'BL', 'WC', 'BW']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52970395,Exclusive Luxury I-Villa garden in october park,12500000.0,EGP,sell,sale_price,12500000,iVilla,"Mountain View October Park, 6th District, 6 October City, Giza",30.005165100097656,30.928953170776367,"['https://static.shared.propertyfinder.eg/media/images/listing/SYYNWAMSBRBJ9JA4TTQCDB5VB8/01e11ed2-cefc-415a-84d6-f15088340580/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/SYYNWAMSBRBJ9JA4TTQCDB5VB8/01e11ed2-cefc-415a-84d6-f15088340580/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/ivilla-for-sale-giza-6-october-city-6th-district-mountain-view-october-park-2PXzzGtqxxw.html,3.0,3.0,229,"['BA', 'ST', 'PG', 'SE']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8566050,Fully finished Villa with ACs and kitchen RTM,63000000.0,EGP,sell,sale_price,63000000,Villa,"Cairo Festival City, North Investors Area, New Cairo City, Cairo",30.028350830078125,31.40838432312012,"['https://static.shared.propertyfinder.eg/media/images/listing/BGBB5FBKWDBCC5FE86HDKHFAYW/4c31b683-9546-4da9-8722-de5c2b00e817/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/BGBB5FBKWDBCC5FE86HDKHFAYW/4c31b683-9546-4da9-8722-de5c2b00e817/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-cairo-city-north-investors-area-cairo-festival-city-8566050.html,5.0,6.0,380,"['AC', 'CP', 'BK', 'MR', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52970135,"1 Bedroom Side sea View, private beach, Oro beach",5285280.0,EGP,sell,sale_price,5285280,Apartment,"Al Ahyaa District, Hurghada, Red Sea",27.280988693237305,33.77423858642578,"['https://static.shared.propertyfinder.eg/media/images/listing/Y23YR2ETMRT3VC3MZFEVTT3NS4/d83c8e83-24a1-4d1b-a655-fe7484870faf/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/Y23YR2ETMRT3VC3MZFEVTT3NS4/d83c8e83-24a1-4d1b-a655-fe7484870faf/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-red-sea-hurghada-al-ahyaa-district-2PXz0yGXZxo.html,1.0,1.0,91,"['BA', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'WC', 'BL', 'CO', 'LB']",buy,2,2026-02-19T14:59:15.350855+00:00,property
8500854,Brand New Finished Villa 200m 4BR+3Bath-7Y Install,5000000.0,EGP,sell,sale_price,5000000,Villa,"Mesca, Soma Bay, Safaga, Hurghada, Red Sea",26.864334106445312,33.96331024169922,"['https://static.shared.propertyfinder.eg/media/images/listing/APZJMGWAB9DNZ4JDERRY5E1QYC/7d47e400-fa2a-4f76-9cdf-00d2b9a16705/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/APZJMGWAB9DNZ4JDERRY5E1QYC/7d47e400-fa2a-4f76-9cdf-00d2b9a16705/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-red-sea-hurghada-safaga-soma-bay-mesca-8500854.html,4.0,3.0,20,"['BA', 'BW', 'CP', 'PG', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'BL', 'WC', 'LB', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
52967867,Luxurious serviced penthouse resale SODIC Villette,19000000.0,EGP,sell,sale_price,19000000,Penthouse,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",30.02259635925293,31.54581451416016,"['https://static.shared.propertyfinder.eg/media/images/listing/Y5YXHP6A8775KMGXGQSVHQB6A4/a9646655-c481-4fb5-b907-956979e3fd8f/416x272.jpg', 'https://static.shared.propertyfinder.eg/media/images/listing/Y5YXHP6A8775KMGXGQSVHQB6A4/a9646655-c481-4fb5-b907-956979e3fd8f/668x452.jpg']",https://www.propertyfinder.eg/en/plp/buy/penthouse-for-sale-cairo-new-cairo-city-the-5th-settlement-5th-settlement-compounds-villette-2PX5dUvDROS.html,3.0,4.0,203,"['BW', 'AC', 'BA', 'CP', 'BK', 'MR', 'PG', 'PP', 'SP', 'ST', 'VW', 'SE', 'SS', 'SY', 'WC', 'BL', 'LB', 'CO']",buy,2,2026-02-19T14:59:15.350855+00:00,property
